Filename,Camera,Site,Model,SerialNo,DateTimeOriginal,DateTime,Date,Time,Sequence,Flash,Latitude,Longitude,Ta,Species,TriggerMode,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,
IMG_1161.JPG,B13,PL,H600HG05181639,,2014/04/03 01:46:28,2014/04/03 01:46:28,3/04/2014,1:46:28 AM,-,,,,15,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_1651.JPG,W06,PL,H600HG05181656,,2014/04/03 02:33:55,2014/04/03 02:33:55,3/04/2014,2:33:55 AM,-,,,,15,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_1651.JPG,W07,PL,H600HG05181655,,2014/04/03 18:11:08,2014/04/03 18:11:08,3/04/2014,6:11:08 PM,-,,,,20,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0591.JPG,W01,PL,H600HG06182820,,2014/04/04 02:52:04,2014/04/04 02:52:04,4/04/2014,2:52:04 AM,-,,,,15,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_1141.JPG,SP03,PL,H600HG06183167,,2014/04/04 23:15:23,2014/04/04 23:15:23,4/04/2014,11:15:23 PM,-,,,,17,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_1171.JPG,B13,PL,H600HG05181639,,2014/04/05 02:14:16,2014/04/05 02:14:16,5/04/2014,2:14:16 AM,-,,,,15,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_1661.JPG,W07,PL,H600HG05181655,,2014/04/05 19:14:33,2014/04/05 19:14:33,5/04/2014,7:14:33 PM,-,,,,19,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_2711.JPG,W04,PL,H600HG05182327,,2014/04/06 21:39:20,2014/04/06 21:39:20,6/04/2014,9:39:20 PM,-,,,,14,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_1501.JPG,MG02,PL,H600HG06182846,,2014/04/06 22:18:15,2014/04/06 22:18:15,6/04/2014,10:18:15 PM,-,,,,13,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_1511.JPG,MG02,PL,H600HG06182846,,2014/04/06 22:33:54,2014/04/06 22:33:54,6/04/2014,10:33:54 PM,-,,,,13,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0651.JPG,W01,PL,H600HG06182820,,2014/04/07 18:29:21,2014/04/07 18:29:21,7/04/2014,6:29:21 PM,-,,,,13,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_2241.JPG,W06,PL,H600HG05181656,,2014/04/07 18:41:48,2014/04/07 18:41:48,7/04/2014,6:41:48 PM,-,,,,14,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_4711.JPG,B03,PL,H600HG05181172,,2014/04/07 19:12:08,2014/04/07 19:12:08,7/04/2014,7:12:08 PM,-,,,,12,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0671.JPG,W01,PL,H600HG06182820,,2014/04/08 18:56:52,2014/04/08 18:56:52,8/04/2014,6:56:52 PM,-,,,,14,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
